"tipo","codigo","descricao","credito","parcela_01_12","demais_parcelas","parcela_pf","parcela_pj","redutor","prazo","taxa_adm","adesao","fundo_reserva","seguro","reajuste","sorteio","lance_fixo","lance_embutido","grupo","status","pontos_livelo","imagem"
"Imovel","M26 IMOVEL PLANO FLEX M26","IMOVEL FLEX","530000","3288,12","2404,61",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","115084","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M27 IMOVEL PLANO FLEX M27","IMOVEL FLEX","540000","3350,16","2449,98",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","117256","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M28 IMOVEL PLANO FLEX M28","IMOVEL FLEX","550000","3412,2","2495,35",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","119427","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M29 IMOVEL PLANO FLEX M29","IMOVEL FLEX","560000","3474,24","2540,72",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","121598","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMP01- IMOVEL PLANO PREMIUM XIMP01X","IMOVEL PLANO PREMIUM","600000","3688,8","2688",,,"25","200","19.5","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1035","Em formação","129108","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMP02- IMOVEL PLANO PREMIUM XIMP02X","IMOVEL PLANO PREMIUM","650000","3996,2","2912",,,"25","200","19.5","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1035","Em formação","139867","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMP03 - IMOVEL PLANO PREMIUM XIMP03X","IMOVEL PLANO PREMIUM","700000","4303,6","3136",,,"25","200","19.5","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1035","Em formação","150626","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMP04 - IMOVEL PLANO PREMIUM XIMP04X","IMOVEL PLANO PREMIUM","750000","4611","3360",,,"25","200","19.5","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1035","Em formação","161385","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMP05 - IMOVEL PLANO PREMIUM XIMP05X","IMOVEL PLANO PREMIUM","800000","4918,4","3584",,,"25","200","19.5","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1035","Em formação","172144","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMP06 - IMOVEL PLANO PREMIUM XIMP06X","IMOVEL PLANO PREMIUM","850000","5225,8","3808",,,"25","200","19.5","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1035","Em formação","182903","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMP07 - IMOVEL PLANO PREMIUM XIMP07X","IMOVEL PLANO PREMIUM","900000","5533,2","4032",,,"25","200","19.5","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1035","Em formação","193662","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
