Codigo,Descricao,Credito,Parcela PF,Parcela PJ,Redutor,Prazo,Taxa Adm,Fundo de Reserva,Seguro de Vida,Sorteio,Lance Fixo,Lance Embutiro,Lance Livre,Plano,Status,Pontos Livelo,Credito Texto,Parcela PF Texto,Prazo Texto,CTA,Imagem,Reajuste anual
AFCM13,AUTOMOVEL FLEX CREDITO MEDIO AFCM13,"$62500,00","$833,32","$833,32",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,15000,"Crédito: R$62.500,00"," R$ 833,32 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCM14,AUTOMOVEL FLEX CREDITO MEDIO AFCM14,"$65000,00","$866,65","$866,65",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,15600,"Crédito: R$65.000,00"," R$ 866,65 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
VPM01,VEICULOS PESADOS,"$180000,00","$1391,76","$1391,76",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,41753,"Crédito: R$180.000,00"," R$ 1.391,76 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
VPM02,VEICULOS PESADOS,"$190000,00","$1469,08","$1469,08",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,44072,"Crédito: R$190.000,00"," R$ 1.469,08 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
VPM03,VEICULOS PESADOS,"$200000,00","$1546,40","$1546,40",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,46392,"Crédito: R$200.000,00"," R$ 1.546,40 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
VPM04,VEICULOS PESADOS,"$210000,00","$1623,72","$1623,72",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,48712,"Crédito: R$210.000,00"," R$ 1.623,72 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
VPM05,VEICULOS PESADOS,"$220000,00","$1701,04","$1701,04",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,51031,"Crédito: R$220.000,00"," R$ 1.701,04 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
VPM06,VEICULOS PESADOS,"$230000,00","$1778,36","$1778,36",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,53351,"Crédito: R$230.000,00"," R$ 1.778,36 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
VPM07,VEICULOS PESADOS,"$240000,00","$1855,68","$1855,68",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,55670,"Crédito: R$240.000,00"," R$ 1.855,68 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
VPM08,VEICULOS PESADOS,"$250000,00","$1993,00","$1993,00",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,59790,"Crédito: R$250.000,00"," R$ 1.993,00 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
VPM09,VEICULOS PESADOS,"$260000,00","$2010,32","$2010,32",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,60310,"Crédito: R$260.000,00"," R$ 2.010,32 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
VPM10,VEICULOS PESADOS,"$270000,00","$2087,64","$2087,64",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,62629,"Crédito: R$270.000,00"," R$ 2.087,64 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
VPM11,VEICULOS PESADOS,"$280000,00","$2164,96","$2164,96",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,64949,"Crédito: R$280.000,00"," R$ 2.164,96 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,
VPM12,VEICULOS PESADOS,"$290000,00","$2242,28","$2242,28",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,67268,"Crédito: R$290.000,00"," R$ 2.242,28 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,
VPM13,VEICULOS PESADOS,"$300000,00","$2319,60","$2319,60",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,69588,"Crédito: R$300.000,00"," R$ 2.319,60 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,
VPM14,VEICULOS PESADOS,"$310000,00","$2396,92","$2396,92",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,71908,"Crédito: R$310.000,00"," R$ 2.396,92 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,
VPM15,VEICULOS PESADOS,"$320000,00","$2474,24","$2474,24",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,74227,"Crédito: R$320.000,00"," R$ 2.474,24 ",Prazo: 120 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,
VPM16,VEICULOS PESADOS,"$330000,00","$2551,56","$2551,56",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,76547,"Crédito: R$330.000,00"," R$ 2.551,56 ",Prazo: 120 meses,Contratar,,
VPM17,VEICULOS PESADOS,"$340000,00","$2628,88","$2628,88",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,78866,"Crédito: R$340.000,00"," R$ 2.628,88 ",Prazo: 120 meses,Contratar,,
VPM18,VEICULOS PESADOS,"$350000,00","$2709,20","$2709,20",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,81276,"Crédito: R$350.000,00"," R$ 2.709,20 ",Prazo: 120 meses,Contratar,,
VPM19,VEICULOS PESADOS,"$360000,00","$2783,52","$2783,52",20%,120,14%,2%,Não possui ,1 por mês,40%,30%,Todas que o saldo do grupo permitir ,965,Em andamento,83506,"Crédito: R$360.000,00"," R$ 2.783,52 ",Prazo: 120 meses,Contratar,,
AFC+01,CREDITO ALTO PREMIUM 1,"$125000,00","$1300,01","$1300,01",20%,90,15%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,998,Em formação ,32500,"Crédito: R$125.000,00"," R$ 1.300,01 ",Prazo: 90 meses,Contratar,,
AFC+02,CREDITO ALTO PREMIUM 2,"$130000,00","$1352,00","$1352,00",20%,90,15%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,998,Em formação ,33800,"Crédito: R$130.000,00"," R$ 1.352,00 ",Prazo: 90 meses,Contratar,,
AFC+03,CREDITO ALTO PREMIUM 3,"$140000,00","$1456,00","$1456,00",20%,90,15%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,998,Em formação ,36400,"Crédito: R$140.000,00"," R$ 1.456,00 ",Prazo: 90 meses,Contratar,,
AFC+04,CREDITO ALTO PREMIUM 4,"$150000,00","$1560,00","$1560,00",20%,90,15%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,998,Em formação ,39000,"Crédito: R$150.000,00"," R$ 1.560,00 ",Prazo: 90 meses,Contratar,,
AFC+05,CREDITO ALTO PREMIUM 5,"$160000,00","$1664,00","$1664,00",20%,90,15%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,998,Em formação ,41600,"Crédito: R$160.000,00"," R$ 1.664,00 ",Prazo: 90 meses,Contratar,,
AFC+06,CREDITO ALTO PREMIUM 6,"$170000,00","$1768,00","$1768,00",20%,90,15%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,998,Em formação ,44200,"Crédito: R$170.000,00"," R$ 1.768,00 ",Prazo: 90 meses,Contratar,,
AFC+07,CREDITO ALTO PREMIUM 7,"$180000,00","$1872,00","$1872,00",20%,90,15%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,998,Em formação ,46800,"Crédito: R$180.000,00"," R$ 1.872,00 ",Prazo: 90 meses,Contratar,,
AFC+08,CREDITO ALTO PREMIUM 8,"$190000,00","$1976,00","$1976,00",20%,90,15%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,998,Em formação ,49400,"Crédito: R$190.000,00"," R$ 1.976,00 ",Prazo: 90 meses,Contratar,,
AFC+09,CREDITO ALTO PREMIUM 9,"$200000,00","$2080,00","$2080,00",20%,90,15%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,998,Em formação ,52000,"Crédito: R$200.000,00"," R$ 2.080,00 ",Prazo: 90 meses,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
,,,,,,,,,,,,,,,,,,,,Contratar,,
