Codigo,Descricao,Credito,Parcelas de 01 a 12,Demais parcelas,Redutor,Prazo ,Taxa Adm ,Taxa de Adesão ,Fundo de Reserva,Seguro de vida,Reajuste anual ,Sorteio ,Lance fixo ,Lance Embutido ,Lance Livre ,Plano,Status ,Pontos Livero,Credito Texto,Parcelas 01 a 12 Texto,Demais Parcelas Texto,Prazo Texto,CTA,Imagem,Parcelas Todas Texto
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
